,Acousticness,Danceability,Duration_ms,Energy,ID,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
159,0.214,0.296,261627,0.421,05X6aMCQR09E6smUmw9qms,0.0,7,0.232,-8.891,1,0.0285,83.425,5,0.335
160,0.292,0.709,296813,0.801,05XHjh4kOZQPGgNlCTktex,0.46,0,0.226,-8.102,1,0.147,110.157,4,0.531
161,0.0556,0.762,220813,0.576,05Z7jet4VDNVgNQWcYHnrk,0.0,1,0.0869,-4.951,0,0.0829,142.096,4,0.316
162,0.11,0.751,234366,0.839,05ZXXyeZFhZtA6DAP3Aw7x,0.0,9,0.0865,-3.367,1,0.054,95.019,4,0.639
163,0.992,0.519,336968,0.026,061Tn81IFIRqMxJS0DQs0p,0.937,11,0.105,-26.011,0,0.035,107.242,3,0.0707
164,0.0222,0.507,194987,0.949,065KxjTN25jrlGiWPKprsb,0.000128,0,0.0824,-5.393,1,0.069,94.843,4,0.47
165,0.039,0.826,216520,0.85,066QkK1heGoXBUPBbcOhEG,0.0,10,0.39,-7.451,0,0.044,91.99,4,0.433
166,0.209,0.664,222853,0.815,06832YTsNZ6lhBW3NgDBjO,0.0,7,0.298,-3.36,1,0.0848,130.032,4,0.647
167,0.539,0.39,133893,0.873,06agX6iFrc2JFojMHvu5aM,0.919,10,0.128,-9.049,1,0.0363,155.746,4,0.949
168,0.0245,0.575,287404,0.576,06C0LO0Qjo9JkQuHwy080z,0.917,5,0.116,-9.782,0,0.0295,135.998,4,0.0363
169,0.325,0.644,227027,0.879,06EL94D0TA27Ik0Ke5usbj,0.0,5,0.0742,-3.179,0,0.147,82.518,4,0.83
170,0.193,0.678,307880,0.562,06FCvd7rrRcF3DdvWH5Isp,0.0,3,0.104,-9.197,0,0.508,94.241,4,0.566
171,0.552,0.487,270413,0.458,06GcodDliPWAYFX2LSFLIu,0.0257,4,0.117,-7.761,0,0.0371,115.989,4,0.207
172,0.133,0.607,180907,0.575,06gD2ZtK3Dzc1BYqWExQJJ,2.52e-06,8,0.0566,-7.066,1,0.0252,78.341,4,0.504
173,0.00108,0.8,144142,0.523,06Gyf2pFDVmN5K8XAawG96,0.0,1,0.352,-6.578,1,0.107,147.057,4,0.379
174,0.144,0.825,243651,0.702,06hB8RlMfCKsHtmpAuTPxf,0.0,11,0.264,-4.195,0,0.281,94.462,4,0.874
175,2.11e-06,0.438,188800,0.991,06IbVDQRIM4USfAdJY06sG,0.161,7,0.231,-5.245,1,0.0748,106.538,3,0.399
176,0.00457,0.517,223840,0.991,06JFQBENsJ0i4QJAX169VY,0.0,2,0.0698,-2.811,1,0.0774,152.045,4,0.803
177,0.85,0.541,169840,0.302,06KWxPWcaOBaKGIPhjPLLq,0.0317,2,0.184,-10.673,1,0.0262,72.023,4,0.305
178,0.0582,0.747,307267,0.777,06ObEGGlc8iwNI3vmtRm1s,0.0,8,0.339,-7.374,1,0.123,116.142,4,0.757
179,0.0392,0.821,213427,0.276,06RzVT7uWMYv2fPTyiOy1m,0.0233,1,0.11,-10.556,1,0.123,144.896,4,0.0569
180,0.101,0.555,199687,0.532,06S7iIXT8ZVAcVK6l1iXvx,4.17e-06,0,0.0772,-8.191,1,0.448,97.26,3,0.296
181,0.493,0.578,231400,0.523,06u5LrUpbosQlQ1QJFhPpG,0.0,0,0.147,-5.538,0,0.0429,134.931,4,0.29
182,0.0495,0.664,225956,0.524,06Vthiq8nNDuT5nOcch535,8.18e-06,2,0.075,-5.178,1,0.0283,91.027,4,0.475
183,0.302,0.57,235077,0.621,06xz40a3sZw6xaJo6Mr38V,0.0,5,0.242,-6.379,0,0.53,120.066,4,0.486
184,0.0447,0.722,184071,0.84,06ZpMjkNdIDKVf3mK29UiC,1.28e-05,0,0.066,-3.939,1,0.0349,124.003,4,0.569
185,0.84,0.699,282387,0.551,07195yXNEtGPxjq47UlPOm,0.0,7,0.174,-7.444,1,0.105,173.984,4,0.722
186,0.0617,0.744,246753,0.772,073wIn7FqixdyJU4cqh41j,0.0,8,0.33,-4.034,0,0.257,144.042,4,0.441
187,0.536,0.559,290867,0.696,077SVSWuifvbBbkPMPP5kw,0.0,7,0.325,-5.583,1,0.0472,128.855,4,0.391
188,0.745,0.37,272493,0.515,07BvYVjw4vUlHB2Ra2Mohv,0.0,1,0.244,-7.687,1,0.034,203.903,4,0.505
189,0.0314,0.719,171333,0.535,07dYGGSrzPeg6a3KZjWX65,0.0017,10,0.141,-6.069,0,0.0641,96.982,4,0.276
190,0.161,0.753,209213,0.66,07FkzikE6FuHIa8Ma7zJGc,0.0,5,0.236,-6.542,1,0.133,95.003,4,0.182
191,0.00431,0.762,340040,0.856,07fSyEHuoibTGPOcTxzV8d,0.0,8,0.168,-10.455,1,0.248,129.126,4,0.604
192,0.000448,0.456,224373,0.633,07G5C1wAil4Mp1qjbd3eTR,0.0361,7,0.58,-6.249,1,0.0375,89.896,4,0.521
